OrderID,OrderDate,Week,Month,Year,ProductID,ProductCategory,ProductName,UnitsSold,UnitPrice,Revenue,CostPerUnit,Profit,StoreID,Region,PromotionApplied,Holiday,CustomerSegment,Temperature,FootTraffic,ProfitPerUnit,ProfitMargin
ORD00001,2024-12-13,50,12,2024,GR_569,Grocery,Cereal,10.0,425.48,4254.8,219.56,2059.2000000000003,STORE_15,East,No,No,Online,18.2,100.0,205.92000000000002,48.3971044467425
ORD00002,2023-11-19,46,11,2023,BO_484,Books,Novel,13.0,439.03,5707.389999999999,348.68,1174.5499999999993,STORE_1,South,False,No,Retail,23.9,101.0,90.34999999999994,20.57945926246497
ORD00003,2024-08-18,33,8,2024,EL_530,Electronics,Tablet,3.0,461.3,1383.9,283.7,532.8000000000002,STORE_7,North,Yes,No,Retail,5.4,103.0,177.60000000000005,38.49989161066552
ORD00004,2021-03-26,12,3,2021,BO_756,Books,Comics,9.0,153.79,1384.11,88.3,589.41,STORE_36,North,False,No,Wholesale,22.0,99.0,65.49,42.58404317575915
ORD00005,2024-09-06,36,9,2024,HO_288,Home,Vacuum,6.0,341.94,2051.64,235.1,641.04,STORE_36,East,No,No,Retail,37.6,120.0,106.83999999999999,31.245247704275602
ORD00006,2022-11-02,44,11,2022,TO_110,Toys,Doll,14.0,385.4,5395.599999999999,232.1,2146.1999999999994,STORE_26,East,False,No,Retail,40.3,95.0,153.29999999999995,39.776855215360655
ORD00007,2023-01-19,3,1,2023,HO_400,Home,Microwave,6.0,324.24,1945.44,234.1,540.8400000000001,STORE_1,North,False,No,Online,28.8,115.0,90.14000000000003,27.800394769306692
ORD00008,2023-01-31,5,1,2023,EL_558,Electronics,Laptop,17.0,321.91,5472.47,174.51,2505.8,STORE_16,West,No,No,Online,9.5,96.0,147.4,45.789195737939174
ORD00009,2024-06-06,23,6,2024,HO_812,Home,Microwave,9.0,299.65,2696.85,213.87,772.02,STORE_6,West,Yes,No,Online,43.7,93.0,85.78,28.626731186384113
ORD00010,2023-05-21,20,5,2023,TO_857,Toys,Doll,10.0,86.79,867.9000000000001,62.92,238.70000000000005,STORE_49,North,No,No,Retail,22.9,98.0,23.870000000000005,27.50316856780735
ORD00011,2023-06-21,25,6,2023,TO_712,Toys,Action Figure,10.0,317.59,3175.8999999999996,210.7,1068.8999999999996,STORE_20,North,Yes,No,Retail,32.7,103.0,106.88999999999996,33.65660127837777
ORD00012,2023-06-02,22,6,2023,GR_203,Grocery,Eggs,10.0,184.27,1842.7,127.4,568.7,STORE_44,South,No,No,Online,24.2,85.0,56.870000000000005,30.862321593314164
ORD00013,2023-03-05,9,3,2023,BO_170,Books,Novel,8.0,417.67,3341.36,333.21,675.6800000000003,STORE_16,North,False,No,Retail,17.5,80.0,84.46000000000004,20.22170613163503
ORD00014,2024-03-06,10,3,2024,CL_714,Clothng,Unknown Product,10.0,102.84,1028.4,63.69,391.5000000000001,STORE_3,North,No,No,Retail,7.9,100.0,39.15000000000001,38.06884480746792
ORD00015,2022-02-11,6,2,2022,BO_565,Books,Novel,13.0,289.62,3765.06,209.23,1045.0700000000002,STORE_47,South,Yes,No,Retail,14.5,93.0,80.39000000000001,27.757060976451907
ORD00016,2023-03-11,10,3,2023,BO_363,Books,Textbook,10.0,5.47,54.699999999999996,2.96,25.099999999999994,STORE_35,East,False,No,Retail,19.8,102.0,2.5099999999999993,45.88665447897623
ORD00017,2024-12-16,51,12,2024,TO_194,Toys,Puzzle,6.0,296.76,1780.56,215.48,487.68000000000006,STORE_8,East,Yes,No,Retail,8.3,103.0,81.28000000000002,27.38913600215663
ORD00018,2023-03-21,12,3,2023,EL_634,Electrnics,Unknown Product,12.0,490.33,5883.96,391.97,1180.3199999999997,STORE_27,North,No,No,Online,21.9,95.0,98.35999999999997,20.059959619032075
ORD00019,2023-08-23,34,8,2023,HO_161,Home,Lamp,10.0,452.73,4527.3,238.53,2142.0,STORE_16,South,No,No,Wholesale,44.5,98.0,214.2,47.31296799416871
ORD00020,2021-09-17,37,9,2021,HO_606,Home,Vacuum,8.0,40.91,327.28,32.18,69.83999999999997,STORE_12,South,False,No,Retail,17.1,109.0,8.729999999999997,21.33952578831581
ORD00021,2022-06-27,26,6,2022,EL_279,Electrnics,Unknown Product,3.0,454.29,1362.8700000000001,311.59,428.10000000000014,STORE_4,North,False,No,Wholesale,41.3,100.0,142.70000000000005,31.41165334918225
ORD00022,2024-12-31,1,12,2024,HO_113,Home,Blender,6.0,267.8,1606.8000000000002,169.75,588.3000000000002,STORE_50,North,No,No,Wholesale,47.4,93.0,98.05000000000003,36.613144137415986
ORD00023,2022-08-06,31,8,2022,GR_183,Grocery,Eggs,13.0,491.21,6385.73,320.41,2220.3999999999996,STORE_25,West,No,No,Wholesale,29.7,106.0,170.79999999999998,34.77127908633781
ORD00024,2023-10-02,40,10,2023,BO_619,Books,Textbook,6.0,318.49,1910.94,239.53,473.76,STORE_48,East,Yes,No,Retail,28.3,101.0,78.96,24.79198718955069
ORD00025,2021-07-16,28,7,2021,EL_174,Electronics,Laptop,9.0,165.06,1485.54,104.79,542.43,STORE_50,West,No,No,Retail,22.8,118.0,60.269999999999996,36.51399491094147
ORD00026,2023-06-30,26,6,2023,BO_278,Books,Novel,11.0,124.01,1364.1100000000001,68.21,613.8000000000002,STORE_48,North,False,No,Retail,18.5,83.0,55.80000000000002,44.99637126038223
ORD00027,2021-12-27,52,12,2021,HO_877,Home,Blender,11.0,338.56,3724.16,229.04,1204.7199999999998,STORE_45,North,False,Yes,Retail,11.3,90.0,109.51999999999998,32.34877126654064
ORD00028,2024-12-02,49,12,2024,TO_324,Toys,Puzzle,12.0,348.63,4183.5599999999995,177.75,2050.5599999999995,STORE_24,West,Yes,No,Wholesale,20.4,96.0,170.87999999999997,49.01471474055588
ORD00029,2024-06-06,23,6,2024,TO_204,Toys,Puzzle,11.0,210.82,2319.02,115.86,1044.56,STORE_3,South,False,No,Retail,22.0,98.0,94.96,45.04316478512475
ORD00030,2024-09-16,38,9,2024,EL_720,Electronics,Headphones,5.0,462.94,2314.7,308.21,773.6499999999999,STORE_34,North,False,No,Retail,18.6,100.0,154.72999999999996,33.42333779755475
ORD00031,2021-10-21,42,10,2021,HO_990,Home,Microwave,5.0,294.66,1473.3000000000002,166.19,642.3500000000001,STORE_1,East,False,No,Wholesale,21.8,103.0,128.47000000000003,43.59940270141859
ORD00032,2024-03-23,12,3,2024,CL_599,Clothing,Jacket,9.0,190.48,1714.32,143.73,420.75,STORE_30,West,False,No,Retail,35.0,101.0,46.75,24.543259134817305
ORD00033,2022-12-30,52,12,2022,EL_408,Electrnics,Unknown Product,7.0,496.24,3473.6800000000003,296.54,1397.9,STORE_38,East,False,No,Retail,10.9,90.0,199.70000000000002,40.24262453651459
